NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
BOMBON MAMBA MAGIC STICKS 140 g,90889828,MAMBA,0.14 kg,ko,1.79,12.79,,1.79,1.79,4014400933413,HRANA
GRISSINI DULCETTI CLASSIC 170 g,90890114,DULCETTI,0.17 kg,ko,,5.82,0.99,1.29,1.29,3838900843475,HRANA
UMAK BEŠAMEL 250 ml THOMY,90890353,THOMY,0.25 l,ko,2.75,11,,2.75,2.75,40056296,HRANA
ČOKOLADNE BANANE 17/1 289 g EVROPA,90895080,LEVENTIĆ,0.29 kg,ko,2.79,9.65,,2.79,2.79,5310002154218,HRANA
FINISH ULTIMATE GEL LEMON 2X1 L,90899660,FINISH ADW,2.00 l,ko,35.99,18,,35.99,35.99,5999109583697,SREDSTVA ZA ČIŠĆENJE
ČIPI ČIPS 200g FRANCK,01310113,ČIPI ČIPS,0.20 kg,ko,,12.45,2.49,2.99,2.99,3856021300547,HRANA
PERŠIN KORIJEN 250 grama,01407833,KORA,0.25 kg,ko,1.39,5.56,,1.39,1.49,3850334357090,HRANA
UMAK BOLOGNESE 410g PODRAVKA,01490571,PODRAVKA,0.41 kg,ko,3.99,9.73,,3.99,3.99,3850104224850,HRANA
ZAČIN MEXICO FAJITA 40g VR KOTANY,01490840,KOTANYI,0.04 kg,ko,1.69,42.25,,1.39,1.69,9001414011539,HRANA
ULJE SUNCOKRET 1L DIJAMANT,01499920,DIJAMANT,1.00 l,ko,1.59,1.59,,1.59,1.59,8600498170029,HRANA
SIR POLUTV EDAMER 40% BAYREUTH,02053000,BAYREUTH,1.00 kg,kg,5.99,5.99,,4.97,4.97,3850334172464,HRANA
VINO DINGAČ 0.75L VRH MADIRAZZA,03020416,MADIRAZZA,0.75 l,ko,21.09,28.12,,21.09,21.09,3859889833011,PIĆE
PIVO HEINEKEN 0.5L LIM,03040181,HEINEKEN,0.50 l,ko,1.69,3.38,,1.49,1.69,3830001714692,PIĆE
GIN EMPIRE 37.5% 1L MARASKA,03071259,MARASKA,1.00 l,ko,13.55,13.55,,13.55,13.55,3850158200879,PIĆE
VISKI BALLANTINES 0.7L+2ČAŠE,03080148,BALLANTINES,0.70 l,ko,18.05,25.79,,18.05,18.05,5010106114667,PIĆE
PIVO CORONA EXTRA 0.355L NEP BOCA,03130669,CORONA,0.36 l,ko,2.25,6.34,,1.92,2.25,75032814,PIĆE
VODA IZVORSKA STUDENA 0.5L,03180007,STUDENA,0.50 l,ko,0.79,1.58,,0.79,0.79,3856022300188,PIĆE
VODA STUDENA LIMUN 1.5L PET,03180036,STUDENA,1.50 l,ko,1.29,0.86,,1.29,1.29,3856022300003,PIĆE
VOĆNI KOLAČ 500g CRO GO,04025431,CRO GO,0.50 kg,ko,5.29,10.58,,5.29,5.29,3859888430365,HRANA
TIJESTO PENNE 47 500g PASTA ZARA,04050183,PASTA ZARA,0.50 kg,ko,1.59,3.18,,0.89,1.59,8004350130471,HRANA
TIJESTO K PLUS REZ USKI JAJ 400g,04051371,K PLUS,0.40 kg,ko,1.59,3.98,,1.59,1.59,3850334136763,HRANA
INSTANT JACOBS MONARCH 200g,04074041,JACOBS,0.20 kg,ko,12.99,64.95,,9.99,12.99,8711000513880,HRANA
BRUSCHETTE RAJČ/MASL/ORIG 70g MARETT,04141679,MARETTI,0.07 kg,ko,,10,0.7,0.7,0.95,3800205875109,HRANA
PRAŠAK ZA PECIVO 12g PODRAVKA,04180536,DOLCELA,0.01 kg,ko,0.2,16.67,,0.1,0.1,3850104216770,HRANA
ŠLAG PJENA HIT 42g DOLCELA,04180706,DOLCELA,0.04 kg,ko,1.1,26.19,,0.85,0.85,3850104216909,HRANA
ŠARENO PISMO 76g DR OETKER,04180926,DR OETKER,0.08 kg,ko,3.89,51.18,,3.89,3.89,5907707051296,HRANA
VISKI FIREAN 0.70L 43%,90361216,BURLINGTON,0.70 l,ko,15.59,22.27,,15.59,15.59,5021692118021,PIĆE
ČETKICA CURAPROX 3PACK 1560 US,90362572,CURAPROX,3.00 ko,ko,13.99,4.66,,13.99,13.99,7612412001563,KOZMETIKA
HIG UL LIBRESSE ALOE VER CAM NORM DUO 20/1,90363581,LIBRESSE,20.00 ko,ko,3.05,0.15,,1.99,3.05,7322540344011,TOALETNE POTREPŠTINE
MLIJ NAP POPY SHAKE VAN 200ml VIND,90363584,Z BREGOV,0.20 l,ko,1.15,5.75,,1.15,1.15,3850108035421,HRANA
KOLAČ OBLATNE S KREMOM 270g,90365068,GRANNY VIKKY,0.27 kg,ko,3.19,11.81,,3.19,3.19,3859889660204,HRANA
PIVO OŽUJSKO 4X0.5L SUPER PONUDA,90382578,OŽUJSKO,2.00 l,ko,5.35,2.68,,5.35,5.35,3850131986011,PIĆE
GEL TUŠ OLD SPICE DEEP SEA 400ml,90402672,OLD SPICE,0.40 l,ko,,9.35,3.74,4.99,4.99,8001841326153,KOZMETIKA
BRAŠNO PIROVO INTEGRAL 1kg PODRAVKA,90403373,PODRAVKA,1.00 kg,ko,2.49,2.49,,2.49,2.49,3838700295269,HRANA
VAFL MANNER ČOKOLADA 200g,90403942,MANNER,0.20 kg,ko,2.25,11.25,,2.25,2.25,9000331627212,HRANA
KEKS BAIOCCHI 168g  BARILLA,90403982,BARILLA,0.17 kg,ko,2.19,13.04,,1.64,2.19,8076809574969,HRANA
FLIPS POM BAR ORIGINAL 50g,90404630,POM BAR,0.05 kg,ko,1.19,23.8,,0.99,1.19,3856021302718,HRANA
SIR TVRDI MLADI KRAVLJI 230g ŠPIN,90405233,ŠPIN,0.23 kg,ko,5.49,23.87,,4.49,5.49,3858881196629,HRANA
CEDEVITA FRESH LIMUN 0.34L,90405340,CEDEVITA,0.34 l,ko,1.15,3.38,,1.05,1.15,3850322013380,PIĆE
SIRUP FRUTTI LIMUN LIMETA 1L,90407071,FRUTTI,1.00 l,ko,1.55,1.55,,1.55,1.55,3850334134370,PIĆE
NAMAZ MILKA 600g,90407637,MILKA,0.60 kg,ko,9.49,15.82,,9.49,9.49,7622201521257,HRANA
KAVA LEDENA MINUTE CAPPUCCINO 250ml,90410593,MINUTE,0.25 l,ko,1.09,4.36,,1.09,1.09,3850334586650,HRANA
DEKOR SVJEĆ HAPPY B 20G DR OETKER,90412553,DR OETKER,0.02 kg,ko,3.89,194.5,,3.89,3.89,4000521035532,HRANA
ZP PLID SUPERFR 75ml,90423021,PLIDENTA,0.08 l,ko,2.15,28.67,,1.49,2.15,3856007908071,KOZMETIKA
KAVA ARABESCA AROMA MLJEVENA 350g,90453528,ARABESCA,0.35 kg,ko,7.79,22.26,,7.79,7.79,3858886803881,HRANA
PIĆE GAZ PARTY COLA ZERO 2L,90485710,PARTY,2.00 l,ko,0.89,0.45,,0.89,0.89,3850334411754,PIĆE
KAŠA ZOB BOOM BOX ŠUM VOĆE BADEM 60g,90493466,BOOM BOX,0.06 kg,ko,0.99,16.5,,0.99,0.99,3858890477191,HRANA
SOK FRUCTAL JABUKA BISTRI 100% 1L,90499375,FRUCTAL,1.00 l,ko,2.39,2.39,,1.72,1.72,3838945007887,PIĆE
MLIJEKO SVJEŽE 3.2% Z BRE PET 1L VIN,90513932,Z BREGOV,1.00 l,ko,1.49,1.49,,1.49,1.49,3850108011814,HRANA
PIĆE GAZ SKY COLA ZERO 0.33L LIM,90528167,SKY,0.33 l,ko,0.89,2.7,,0.89,0.89,3875000182288,PIĆE
KEČAP KIDS 500g ZVIJEZDA,90571651,ZVIJEZDA,0.50 kg,ko,2.09,4.18,,1.49,1.49,3856015323200,HRANA
DŽEM EXTRA VIŠNJA 320g PODRAVKA,90572917,PODRAVKA,0.32 kg,ko,3.89,12.16,,3.89,3.89,3856020253103,HRANA
MED CVJETNI HR MELBI 700g,90572957,MELBI,0.70 kg,ko,7,10,,7,7,3859891216109,HRANA
DEO NIVEA Ž PROTECT&CARE 250ml,90597882,NIVEA,0.25 l,ko,,14.36,3.59,5.39,7.19,5900017048642,KOZMETIKA
SIR POLUTV RIB ZA PIZZU K PLUS 250g,90598281,K PLUS,0.25 kg,ko,3.19,12.76,,3.19,3.19,3850334001016,HRANA
DEO OLD SPICE NIGHT PANTHER 150ml,90598674,OLD SPICE,0.15 l,ko,,24.93,3.74,4.99,4.99,8006540377321,KOZMETIKA
ŠAMPON OLIVAL RICINUS 250ml,90598764,OLIVAL,0.25 l,ko,6.09,24.36,,6.09,6.09,3858892693902,KOZMETIKA
SLAD LEDO M6 PLAZMA MIXBOX 678ml ,90598911,LEDO,0.68 l,ko,7.99,11.78,,7.99,7.99,3850116059204,HRANA
JUHA GOV. NOODLES 5x75g FINI MINI ,90599273,FINI MINI,0.38 kg,ko,2.69,7.17,,2.69,2.69,3856020258399,HRANA
ZP COLGATE TOTAL JUNIOR 50ml,90599457,COLGATE,0.05 l,ko,,37.8,1.89,2.69,2.69,8718951433120,KOZMETIKA
BOMBONI MR TWISTER KISELI CRVI 100g,90600622,MR TWISTER,0.10 kg,ko,0.99,9.9,,0.99,0.99,3850334413123,HRANA
MUESLI GRANOLA BOOM BOX DOUBLE ČOK 300g,90623115,BOOM BOX,0.30 kg,ko,3.99,13.3,,3.99,3.99,3858890478372,HRANA
JUNEĆI VRAT BEZ KOSTI LOVRIĆ,90648698,LOVRIĆ,1.00 kg,kg,8.99,8.99,,8.99,8.99,,HRANA
MY PETS MP PILETINA 405G,90648737,MY PETS,0.41 kg,ko,0.79,1.95,,0.79,0.79,3850334010070,PROIZVODI ZA KUĆANSTVO
PIVO ZMAJSKO PALE ALE 0.5L NB,90649495,ZMAJSKA PIVOVARA,0.50 l,ko,2.35,4.7,,2.35,2.35,3859893414534,PIĆE
DET FAKS GEL COLOR 1.8L=36 PRANJA,90668031,FAKS,1.80 ko,ko,13.49,7.49,,9.44,13.49,3850105177933,SREDSTVA ZA ČIŠĆENJE
SALV PALOMA BOŽIĆ SNJEGOVIĆ 33x33 20/1,90668663,PALOMA,20.00 ko,ko,2.29,0.11,,2.29,2.29,3838952033831,PROIZVODI ZA KUĆANSTVO
BRIJAČ WILK XTR 3 COCONUT 3+1,90669832,WILKINSON,4.00 ko,ko,,0.91,3.63,5.19,5.19,4027800319626,KOZMETIKA
ČOKOL EUROKREM BLOK 80g,90697856,EUROCREM,0.08 kg,ko,1.09,13.63,,1.09,1.09,3875000050310,HRANA
ČOKOLADNI ZLATNI ZEC LINDT 50g,90699154,LINDT,0.05 kg,ko,1.5,30,,1.5,2,4000539671203,HRANA
PIVO HEINEKEN SILVER 4PACK 0.33L LIM,90703110,HEINEKEN,1.32 l,ko,4.65,3.52,,4.65,4.65,3850103902483,PIĆE
GEL TUŠ FA COCONUT MILK 400ml,90703673,FA,0.40 l,ko,,6.38,2.55,3.99,3.99,9000101009576,KOZMETIKA
MAHUNA ŽUTA GARDEN GOOD 1kg,90704002,GARDEN GOOD,1.00 kg,ko,,1.99,1.99,2.39,2.39,3838900835319,HRANA
VODA JAMNICA 6PACK 1.5L PET ,90705498,JAMNICA,9.00 l,ko,4.99,0.55,,4.99,4.99,3858890879216,PIĆE
BANJALUČKI ĆEVAP E 500g PPK,90707581,PPK,0.50 kg,ko,4.49,8.98,,3.14,4.49,3858890803860,HRANA
PUDING PROTEIN KARAMELA 180g VINDIJA,90707824,VINDIJA,0.18 kg,ko,1.29,7.17,,1.09,1.29,3850108040890,HRANA
TUBA NUTRINO JAB/KRU/BRES 100g,90707859,NUTRINO,0.10 kg,ko,,8.9,0.89,1.05,1.05,8606019650544,HRANA
INSTANT NESCAFE CREMA SENS ST 190g+30g,90713753,NESCAFE,0.19 kg,ko,11.29,59.42,,7.29,11.29,8445290071026,HRANA
SAPUN TEK NICE MED MLIJEKO 1L REFIL,90730476,NICE,1.00 l,ko,,1.09,1.09,1.49,1.49,8606107036434,KOZMETIKA
TJESTENINA U VREĆICI TERIYAKI 130g MAGGI,90814893,MAGGI,0.13 kg,ko,3.19,24.54,,2.59,3.19,8585002443304,HRANA
PUDING ČOK/VIŠ SPECIAL MOMENTS 170 g,90825055,SPECIAL MOMENTS,0.17 kg,ko,1.19,7,,0.99,0.99,3850334428677,HRANA
SALATA S POVRĆEM 160g ARGETA,90825320,ARGETA,0.16 kg,ko,4.19,26.19,,4.19,4.19,3838471055505,HRANA
DŽEM EXTRA SPECIAL M SMOKVA MALINA 230g,90825411,SPECIAL MOMENTS,0.23 kg,ko,2.99,13,,2.49,2.99,3850334430434,HRANA
TJESTENINA SPIRALE BG 500 g FREE ZONE,90825447,FREE ZONE,0.50 kg,ko,,3.98,1.99,2.49,2.49,3838900841563,HRANA
LARDO 90 g NAR SPECIAL MOMENTS,90825709,SPECIAL MOMENTS,0.09 kg,ko,2.79,31,,2.49,2.79,3850334429131,HRANA
SET BIOBAZA FROSTED SG265+BL200,90826278,BIOBAZA,1.00 ko,ko,7.49,7.49,,5.99,7.49,3856020916527,KOZMETIKA
KREMA MELEM GLOSSY CANDY GLAZ 10 ml,90850551,MELEM,0.01 l,ko,,479,4.79,4.71,5.89,3856007911910,KOZMETIKA
TP NATUR FOREST 150L 3SL 10/1,90850718,NATUR,10.00 ko,ko,2.65,0.27,,2.29,2.29,3850334429575,TOALETNE POTREPŠTINE
NAMAZ ALPINESSE CL 400 g MEGGLE,90859927,ALPINESSE,0.40 kg,ko,4.99,12.48,,4.99,4.99,4034900008589,HRANA
MEĐ.PILE PILEĆI MIX MINI 500 g,90864975,MEĐIMURSKO PILE,0.50 kg,ko,2.49,4.98,,1.99,2.49,3850220428507,HRANA
ČAJ MENTA 20/1 26 g FRANCK,90869872,FRANCK,0.03 kg,ko,1.79,68.85,,1.79,1.79,3850291055411,HRANA
TUNJ OCEAN KOM SUNC ULJE 3X70 g/3X52,90869909,OCEAN,0.17 kg,ko,2.79,16.61,,2.79,2.79,3850334114563,HRANA
TUNJ OCEAN KOM NATUR 3X80 g/3X56 g,90869913,OCEAN,0.17 kg,ko,2.99,17.8,,2.99,2.99,3850334114501,HRANA
PAHULJICE LION MINIS 300 g NESTLE,90869978,NESTLE ŽITAR,0.30 kg,ko,4.49,14.97,,4.49,4.49,5900020044891,HRANA
ŠAMPON HERBA KOPRIVA 1 l,90885028,HERBA,1.00 l,ko,2.69,2.69,,2.69,2.69,5310001138585,KOZMETIKA
SALV PALOMA U RABBIT 33X33 3SL 20/1,90885049,PALOMA,1.00 ko,ko,1.69,1.69,,1.35,2.29,3838952035927,PROIZVODI ZA KUĆANSTVO
VOLI VOLI SP RIBA 5 kg,90886259,VOLI VOLI,5.00 kg,ko,15.99,3.2,,11.99,15.99,3859893822841,PROIZVODI ZA KUĆANSTVO
ČIPS HRUSTY STICKS PAPRIKA 100 g,90887129,HRUSTY,0.10 kg,ko,0.99,9.9,,0.99,0.99,3838900821022,HRANA
MLIJEKO AMBR SOL 175 ml SPF50,90887214,GARNIER AMBRE SOLAIR,0.08 l,ko,,174.8,13.11,17.49,17.49,3600542624961,KOZMETIKA
KOLAČ ŠTRUDLA JABUKA 2/1 200 g,90887419,MARICA PEKARICA,0.20 kg,ko,2.19,10.95,,2.19,2.19,3859894042248,HRANA
FILET OSLIĆA FIORITAL,90895216,FIORITAL,1.00 kg,kg,15.99,15.99,,9.59,15.99,93856024302985,HRANA
ALU POSUDA ROŠTILJ KRUG 3 kom ALUFIX,90899787,ALUFIX,3.00 ko,ko,2.19,0.73,,2.19,2.19,5949509002847,PROIZVODI ZA KUĆANSTVO
NAMAZ LINO LADA MILK MANIA 350 g,90900042,LINO LADA,0.35 kg,ko,3.99,11.4,,3.99,3.99,3856020280581,HRANA
ROGAČ MLJEVENI 200g ŠAFRAM,01310284,ŠAFRAM,0.20 kg,ko,0.99,4.95,,0.99,0.99,3859888163645,HRANA
DŽEM SMOKVA EKO 240G DIDA BOŽA,01460260,DIDA BOŽA,0.24 kg,ko,3.69,15.37,,2.58,3.69,3859891515011,HRANA
PEKMEZ OD ŠLJIVA BAKINA TAJNA 375G,01500321,BAKINA TAJNA,0.38 kg,ko,4.79,12.77,,4.79,4.79,8600103131971,HRANA
GRAH BIJELI 230g LIM PODRAVKA,01529013,PODRAVKA,0.23 kg,ko,1.39,6.04,,1.39,1.39,3850104020797,HRANA
RAJČICA KONCENTRAT TUBA 190g PODRAV,01570144,PODRAVKA,0.19 kg,ko,2.19,11.53,,1.75,2.19,3850104053221,HRANA
MASLINE ZELENE 390g MARINA,01580198,MARINA,0.39 kg,ko,6.29,16.13,,6.29,6.29,3859888295063,HRANA
SIR TVRDI DALMATINAC VAC PAŠKA SIRAN,02055397,PAŠKA SIRANA,1.00 kg,kg,26.99,26.99,,19.99,26.99,3859889426091,HRANA
GULAŠ GOVEĐI 300g PODRAVKA,02160317,PODRAVKA,0.30 kg,ko,3.69,12.3,,2.99,3.69,3850104020032,HRANA
TUNJ KOMADI EVA 112G,02190461,EVA,0.11 kg,ko,3.69,32.95,,3.69,3.69,3850104231506,HRANA
FILE PANGASIUSA PAKIRANI KONZUM,02197676,,1.00 kg,kg,8.59,8.59,,4.91,8.19,,HRANA
SLAD LEDO MACHO ČOKOLADA 75ML,02350635,MACHO,0.08 l,ko,1.89,25.2,,1.89,1.89,3850116612621,HRANA
PILEĆI BATAK POD VINDIJA,02434205,CEKIN,1.00 kg,kg,5.79,5.79,,5.79,5.79,3850159110511,HRANA
PIVO BAVARIA 0.5L PREMIUM LIM BAVARI,03040039,BAVARIA,0.50 l,ko,1.55,3.1,,1.55,1.55,8600105004013,PIĆE
GIN BOMBAY SAPPHIRE 47% 0.7L,03070315,BOMBAY,0.70 l,ko,26.05,37.21,,26.05,26.05,5010677714006,PIĆE
CIDER SOMERSBY KRUŠKA 0.33L NB,03131476,SOMERSBY,0.33 l,ko,1.65,5,,1.65,1.65,7310070748423,PIĆE
NEG PIĆE COCKT NAR JAB 0.25L,03140857,VINDI,0.25 l,ko,0.65,2.6,,0.65,0.65,3850108077209,PIĆE
KAŠICA FRUTEK BIO JAB MRK 190g,03141222,FRUTEK,0.19 kg,ko,,6.79,1.29,1.75,1.75,3838945016469,HRANA
NEGAZ PIĆE PINGO  FRUCTAL 0.2L,03164012,FRUCTAL,0.20 l,ko,0.73,3.65,,0.59,0.73,3838945502115,PIĆE
TIJESTO PENNE RIGATE 49 500g ZARA,04050187,PASTA ZARA,0.50 kg,ko,1.59,3.18,,0.89,1.59,8004350130495,HRANA
TIJESTO K PLUS SPIRALI TRIC 57 500g,04057607,K PLUS,0.50 kg,ko,1.29,2.58,,1.29,1.29,,HRANA
KIM ZRNO 10g ŠAFRAM,04100237,ŠAFRAM,0.01 kg,ko,0.42,42,,0.42,0.42,3859888163133,HRANA
ĐUMBIR 38g STAKLO  KOTANY,04100297,KOTANYI,0.04 kg,ko,3.19,83.95,,2.95,3.19,9001414040201,HRANA
PAPRIKA SLATKA DELIKAT 100g ŠAFRAM,04100731,ŠAFRAM,0.10 kg,ko,1.59,15.9,,1.59,1.59,3859888163317,HRANA
PAPRIKA SLATKA 500g ŠAFRAM,04103577,ŠAFRAM,0.50 kg,ko,7.96,15.92,,7.96,7.96,3859890104117,HRANA
PAHULJ CHOCAPIC 375g,04170626,NESTLE ŽITAR,0.38 kg,ko,4.49,11.97,,3.39,4.29,5900020013927,HRANA
LIMUNSKA KISELINA 20g DR OETKER,04180512,DR OETKER,0.02 kg,ko,0.59,29.5,,0.59,0.59,5997381312332,HRANA
PUDING MALINA 40g VREĆ PODRAVKA,04183509,DOLCELA,0.04 kg,ko,0.75,18.75,,0.75,0.75,3850104216749,HRANA
BOMBON GUM KIKI MEDO 90g KRAŠ,04191605,KIKI,0.09 kg,ko,1.19,13.22,,0.89,1.19,3850102216369,HRANA
NAMAZ NUTELLA & GO 54g,04231027,NUTELLA,0.05 kg,ko,1.89,35,,1.89,1.89,80050100,HRANA
KAVA RISTRET ESP NS 10/1 57g LAVAZZA,90725303,LAVAZZA,0.06 kg,ko,5.59,98.07,,5.59,5.59,8000070053564,HRANA
SALV PALOMA BOŽIĆ CARTOON 33X33 20/1,90726735,PALOMA,1.00 ko,ko,2.29,2.29,,2.29,2.29,3838952034913,PROIZVODI ZA KUĆANSTVO
REGEN PANTENE INFINITELY LONG 200ml,90729770,PANTENE,0.20 l,ko,2,10,,2,2,8700216058131,KOZMETIKA
PODLOGA ZA TORTU  SVIJ 350G GENOISE,90730642,PETITE GENOISE,0.35 kg,ko,4.19,11.97,,3.49,4.19,8057592822642,HRANA
RAKIJA TRAVARICA NOMEN 0.7L,90734771,NOMEN,0.70 l,ko,8.05,11.5,,8.05,8.05,3858892461105,PIĆE
GROŽĐE CRVENO BEZ KOŠTICA 500g,90734970,,0.50 kg,ko,2.59,5.18,,2.49,2.59,3858885870747,HRANA
ŠAMPON OLEA OŠTEĆENA KOSA 300ml,90735070,OLEA,0.30 l,ko,1.29,4.3,,1.29,1.29,3850334073457,KOZMETIKA
RIŽA ORIGINARIO 1.2kg XXL RISO GALLO,90744683,RISO GALLO,1.20 kg,ko,2.49,2.07,,2.49,2.49,8001420012156,HRANA
SAPUN OLEA CREAMY 100 g,90745921,OLEA,0.10 kg,ko,0.59,5.9,,0.59,0.59,3850334071224,KOZMETIKA
VINO CAB SAUVIGNON ORAHOVICA 0.75L,90749991,PP ORAHOVICA,0.75 l,ko,5.55,7.4,,5.55,5.55,3858889832291,PIĆE
KAVA DG ESP ROMA 16/1 99.2 g,90750934,DOLCE GUSTO,0.10 kg,ko,6.49,65.42,,5.29,6.49,8445290422163,HRANA
SLAD LEDO KING SEDUCTION 100 ml,90764893,KING,0.08 l,ko,2.79,33.2,,2.79,2.79,3850116064086,HRANA
GEL TUŠ J&J ADULT BADEM JASM 400 ml,90765110,J&J,0.40 l,ko,,7.13,2.85,4.09,4.09,3574661384627,KOZMETIKA
SARDINA U BILJNOM ULJU 95/67 g MIRELA ,90765260,MIRELA,0.07 kg,ko,1.39,20.75,,1.39,1.39,3856020267643,HRANA
UMAK HOT&SWEET CHILI 362g MAGGI,90769802,MAGGI,0.36 kg,ko,,8.26,2.99,3.99,3.99,8445291218710,HRANA
FANT UMAK CURRY 28 g PODRAVKA,90770338,FANT,0.03 kg,ko,1.19,42.5,,1.19,1.19,3856020269401,HRANA
UMAK 4 VRSTE SIRA 42 g FANT,90770341,FANT,0.04 kg,ko,1.19,28.33,,1.19,1.19,3856020269432,HRANA
ŽV GUMA AIRW BLACKMINT BOČ 64 g,90770795,WRIGLEY,0.06 kg,ko,3.69,57.66,,3.69,3.69,4009900550178,HRANA
ŠAMPON H&S CLASSIC CLEAN 800 ml,90771143,HEAD&SHOULDE,0.80 l,ko,12.49,15.61,,12.49,12.49,8700216156134,KOZMETIKA
DEO REXONA W BRIGHT BOUQET 150 ml,90774984,REXONA,0.15 l,ko,5.29,35.27,,3.89,5.29,8720181450396,KOZMETIKA
LOSION TIJ DOVE NIGHT RENEW 400 ml,90774999,DOVE,0.40 l,ko,5,12.5,,5,5,8720181405594,KOZMETIKA
MIX NESCAFE 3U1 CREAMY LATTE 10+2 GRATIS 180 g,90775280,NESCAFE,0.18 kg,ko,2.99,16.61,,2.29,2.99,8445291215566,HRANA
TACO SHELLS 12KOM 156 g OLD EL PASO,90775662,OLD EL PASO,0.16 kg,ko,2.85,18.27,,2.85,2.85,8410076480637,HRANA
PIRE VOĆNI GLOW BIO 200 g O PLANT,90780071,O PLANT,0.20 kg,ko,1.99,9.95,,1.59,1.99,3856020270698,HRANA
PRAŠK. NAPITAK TOCO LOCO NARANČA 550 g,90784764,TOCO LOCO,0.55 kg,ko,4.99,9.07,,4.99,4.99,3856028500674,PIĆE
SOMAT EXCELLENCE 4IN1 75TAB,90795118,SOMAT,75.02 ko,ko,32.99,0.44,,32.99,32.99,9000101808742,SREDSTVA ZA ČIŠĆENJE
PIRE VOĆNI  JAB JAG BOR 200 g BB,90800595,BOOM BOX,0.20 kg,ko,1.99,9.95,,1.49,1.99,3856027801338,HRANA
INSTANT JACOBS MONARCH 2X200g,90814649,JACOBS,0.40 kg,ko,17.98,44.95,,17.98,17.98,3858893908838,HRANA
BOMBONI SKITTLES DESSERTS VR 152g,90824701,WRIGLEY,0.15 kg,ko,2.55,16.78,,1.72,2.55,4009900544788,HRANA
SIR TV KRAVLJI TERANO 230 g SPEC MOM,90829928,SPECIAL MOMENTS,0.23 kg,ko,5.99,26.04,,4.99,5.99,3850334430861,HRANA
NAPITAK ČOKO NOISETTE 250 ml MILKA,90830447,MILKA,0.25 l,ko,1.55,6.2,,1.55,1.55,5711953190117,HRANA
LIKER BAJADERA 0.7 L,90835061,BADEL 1862,0.70 l,ko,20.05,28.64,,20.05,20.05,3850112112453,PIĆE
PROTEIN ZOE CL HYDRO PINA COLADA 25 g,90839968,ZOE,0.03 kg,ko,,83.2,2.08,2.49,2.49,3856026710341,HRANA
BROKULA BIO kom,90840030,ENNA FRUIT,0.50 kg,ko,1.79,3.58,,1.49,1.79,3856028689607,HRANA
ŠLJIVA SUHA B/K 200 g NATURA,90850624,NATURA,0.20 kg,ko,2.69,13.45,,1.88,2.69,3859892798505,HRANA
TRIMER ZA BRADU KCG PRO,90850674,GILLETTE,1.00 ko,ko,69.49,69.49,,69.49,69.49,8700216659659,KOZMETIKA
KULEN NARESCI 90 g PREMIUM DOBRO,90851043,DOBRO,0.09 kg,ko,3.99,44.33,,3.99,3.99,3850133816255,HRANA
GRAH BIJELI GARDEN GOOD 420/240 g,90854715,GARDEN GOOD,0.24 kg,ko,0.79,3.29,,0.79,0.79,3838900842911,HRANA
VREĆICA JUMBO SAFARI,90859925,K PLUS,1.00 ko,ko,0.2,0.2,,0.2,0.2,3850334434005,PROIZVODI ZA KUĆANSTVO
KEKS FINESSE PUNJ LJEŠ KREMA 150 g,90864730,FINESSE,0.15 kg,ko,1.69,11.27,,1.69,1.69,3850334106209,HRANA
TJEST SIMPLY PASTA PENNE RIGATE 500g,90875096,SIMPLY PASTA,0.50 kg,ko,1.29,2.58,,0.89,1.29,3858884500614,HRANA
SVJEŽI PILEĆI FILE,90880096,MUNSTERLANDER,1.00 kg,kg,5.29,5.29,,5.29,5.29,5907696473178,HRANA
SALV PALOMA BUN&EGGS 33X33 3SL 20/1,90885063,PALOMA,1.00 ko,ko,1.69,1.69,,1.35,2.29,3838952036016,PROIZVODI ZA KUĆANSTVO
ROLL ON MELEM SPACEMAN 50 ml,90886071,MELEM,0.05 l,ko,3.99,79.8,,3.19,3.99,3856007912412,KOZMETIKA
OM LENOR SUMMER BREEZE 1.491 L,90886230,LENOR,1.49 l,ko,7.39,4.96,,7.39,7.39,8700216724029,SREDSTVA ZA ČIŠĆENJE
KREMA NIVEA SOFT SPF15 100 ml,90886600,NIVEA,0.10 l,ko,,58.9,5.89,8.35,8.35,9005800388281,KOZMETIKA
KOKICE CARAMEL COLA 170 g BOOMZA,90887158,BOOMZA,0.17 kg,ko,2.49,14.65,,2.49,2.49,4820196730934,HRANA
ŠTRUDLICE PREKRAŠNI ŠLJIVA 200 g,90887177,PREKRAŠNI ŠTRUDLICE,0.20 kg,ko,1.99,9.95,,1.39,1.39,3850120700376,HRANA
KRUH BIJELI U KALUPU REZANI 700 g,90887433,MARICA PEKARICA,0.70 kg,ko,1.65,2.36,,1.65,1.65,3859890947677,HRANA
KEKS FINESSE KOLUTI ČOKO KOKOS 300 g,90889890,FINESSE,0.30 kg,ko,2.99,9.97,,2.99,2.99,3850334436931,HRANA
