naziv;¹ifra;marka;neto kolièina;jedinica mjere;MPC;cijena za jedinicu mjere;MPC za vrijeme posebnog oblika prodaje;Najni¾a cijena u posljednjih 30 dana;datum sidrene cijene;sidrena cijena na 2.5.2025.;barkod;kategorija proizvoda
D®EM ©IPAK PODRAVKA 670 g ;352683;Podravka;0.6700;kg;2.79;4.16;;;02.05.2025;2.79;3856020252243;Hrana
PRALINE BAJADERA 87 g;352696;Bajadera;0.0870;kg;4.39;50.46;;;02.05.2025;3.29;3850102521883;Hrana
Sir Livanjski Spar;352705;SPAR;1.0000;kg;19.99;19.99;;;02.05.2025;19.99;3856021220128;Hrana
GRANOLA ÈOKO.PROTEIN B.B.300 g;352738;Atlantic Trade;0.3000;kg;4.49;14.97;;;02.05.2025;3.99;3858890478358;Hrana
Lignjun atlantski;352739;;1.0000;kg;8.99;8.99;;;02.05.2025;8.99;93856024302039;Hrana
DET.FAKS SUPERAKTIV 1,17 kg;352771;Faks;1.1700;kg;;4.69;5.49;5.99;02.05.2025;6.99;3850105176677;Sredstva za èi¹æenje
DET.FAKS AQUAMARINE 3,51 kg;352772;Faks;3.5100;kg;16.99;4.84;;;02.05.2025;16.99;3850105176769;Sredstva za èi¹æenje
DET.FAKS SUPERAKTIV 2,34 kg;352774;Faks;2.3400;kg;13.49;5.76;;;02.05.2025;13.49;3850105176554;Sredstva za èi¹æenje
ÈOK.FERRERRO RAFFAELLO 90 g ;352775;Ferrero;0.0900;kg;2.49;27.67;;;02.05.2025;2.49;8000500359556;Hrana
ÈOK.FERRERRO ROCHER MILK 90 g ;352776;Ferrero;0.0900;kg;2.49;27.67;;;02.05.2025;2.49;8000500359488;Hrana
ÈOK.FERRERRO ROCHER DARK 90 g ;352777;Ferrero;0.0900;kg;2.49;27.67;;;02.05.2025;2.49;8000500359815;Hrana
NAMAZ LINO LADA DUO PODR.160 g;352812;Podravka;0.1600;kg;2.09;13.06;;;02.05.2025;2.06;3856020240219;Hrana
NAMAZ LINO LADA GOLD POD.160 g;352813;Podravka;0.1600;kg;2.09;13.06;;;02.05.2025;2.06;3856020240189;Hrana
KUVE.MLIJ.ÈOK.33,6% CAL.400 g ;352816;;0.4000;kg;14.99;37.48;;;02.05.2025;10.99;5410522556209;Hrana
KUVE.BIJELA ÈOK.28% CAL.400 g ;352817;;0.4000;kg;14.99;37.48;;;02.05.2025;10.99;5410522556704;Hrana
KUVE.TAMNA ÈO.54,5% CAL.400 g ;352818;;0.4000;kg;14.99;37.48;;;02.05.2025;10.99;5410522556605;Hrana
KAP.LAVAZZA NES.QUA.ROSSA 57 g;352819;Lavazza;0.0550;kg;5.39;98.00;;;02.05.2025;5.39;8000070053526;Piæa
KA©.BEB.LAKU NOÆ GR.VAN.190 g;352828;Bebivita;0.1900;kg;1.35;7.11;;;02.05.2025;1.35;4018852035855;Hrana
KA©.BEB.LAKU NOÆ GRIZ BA.190 g;352829;Bebivita;0.1900;kg;1.35;7.11;;;02.05.2025;1.35;4018852035671;Hrana
KA©.BEB.LAKU NOÆ GR.KEKS 190 g;352830;Bebivita;0.1900;kg;1.35;7.11;;;02.05.2025;1.35;4018852029359;Hrana
PUDING VANILIJA DR.OETKER 55 g;352840;Dr. Oetker;0.0550;kg;1.79;32.55;;;02.05.2025;1.79;4000521027384;Hrana
PUDING ÈOKOLADA DR.OETKER 58 g;352841;Dr. Oetker;0.0580;kg;1.79;30.86;;;02.05.2025;1.79;4000521027407;Hrana
PUDING GRIZ DR.OETKER 65 g;352842;Dr. Oetker;0.0650;kg;1.79;27.54;;;02.05.2025;1.79;4000521027421;Hrana
ÈE©NJOVKA S BUDGET 250 g;352846;S-Budget;0.2500;kg;3.29;13.16;;2.99;02.05.2025;3.69;3856021220173;Hrana
KOBASICA DOMAÆA S BUDGET 250 g;352847;S-Budget;0.2500;kg;3.99;15.96;;;02.05.2025;3.99;3856021220197;Hrana
ÈAJ PODRAVKA MANGO BRESKV.50 g;352894;Podravka;0.0500;kg;3.23;64.60;;;02.05.2025;3.23;3856020249014;Piæa
ÈAJ PODRAVKA D.JAGOD.ACAI 50 g;352896;Podravka;0.0500;kg;3.23;64.60;;;02.05.2025;3.23;3856020249076;Piæa
PILEÆI ®ELUCI S BUDGET 400 g;352897;S-BUDGET;0.4000;kg;1.39;3.48;;;02.05.2025;1.39;3856021220326;Hrana
TAHINI SANA CLASSIC BIO 310 g;352899;Sana;0.3100;kg;7.99;25.77;;;02.05.2025;7.99;3858892322444;Hrana
CEDEVITA INST.NAP.LIMETA 455 g;352901;Cedevita;0.4550;kg;4.19;9.21;;;02.05.2025;4.19;3850322014929;Piæa
CEDEVITA LIMUN 455 g;352902;Cedevita;0.4550;kg;4.19;9.21;;;02.05.2025;4.19;3850322014905;Piæa
LAK EVELINE GEL LAQUE 89;352903;Eveline;1.0000;KOM;2.8;2.80;;;02.05.2025;2.8;5903416033745;Kozmetika
CEDEVITA NARANÈA 455 g;352906;Cedevita;0.4550;kg;3.95;8.68;;;02.05.2025;3.95;3850322014882;Piæa
CEDEVITA BAZGA LIMUN 455 g;352909;Cedevita;0.4550;kg;4.19;9.21;;;02.05.2025;4.19;3850322014943;Piæa
INSTANT KAVA JACOBS 2U1 140 g;352910;Jacobs;0.1400;kg;4.49;32.07;;;02.05.2025;3.99;8711000516584;Piæa
PIVO CARLSBERG 4X0,5 L;352925;Carlsberg;2.0000;L;5.71;2.86;;;02.05.2025;5.71;3858887583751;Piæa
SJENILO ZA OÈI EVELINE QUAT.02;352936;Eveline;1.0000;kom;5.99;5.99;;;02.05.2025;5.99;5903416004110;Kozmetika
SJENILO ZA OÈI EVELINE QUAT.03;352937;Eveline;1.0000;kom;5.99;5.99;;;02.05.2025;5.99;5903416004127;Kozmetika
SJENILO ZA OÈI EVELINE QUAT.05;352940;Eveline;1.0000;kom;5.99;5.99;;;02.05.2025;5.99;5903416004141;Kozmetika
PODLO®AK 290x230x85;352942;;1.0000;kom;3.31;3.31;;;02.05.2025;3.31;8007402384679;Hrana
LAK EVELINE 6U1 C.C.FRENCH;352950;Eveline;1.0000;kom;3.49;3.49;;;02.05.2025;3.49;5901761907483;Kozmetika
LAK EVELINE 6U1 C.C.NUDE;352951;Eveline;1.0000;kom;3.49;3.49;;;02.05.2025;3.49;5903416027492;Kozmetika
LAK EVELINE 6U1 C.C.ROSE;352952;Eveline;1.0000;kom;3.49;3.49;;;02.05.2025;3.49;5901761907469;Kozmetika
MASKARA ZA OB.EVELINE DARK 02;352954;Eveline;1.0000;KOM;4.40;4.40;;;02.05.2025;4.40;5901761997590;Kozmetika
MASKARA ZA OB.EVELINE LIGHT 01;352957;Eveline;1.0000;KOM;4.40;4.40;;;02.05.2025;4.40;5901761997606;Kozmetika
FIKSATOR GEL ZA OBRVE EVELINE;352959;Eveline;1.0000;KOM;4.50;4.50;;;02.05.2025;4.50;5903416017462;Kozmetika
KOBASICA NARODNA S BUDET 320 g;352961;S-Budget;0.3200;kg;1.79;5.59;;;02.05.2025;1.79;3856021220241;Hrana
VRUÆA ÈOKOLADA DUKAT 0,5 L;352972;Dukat;0.5000;L;1.99;3.98;;;02.05.2025;1.99;3850354016786;Hrana
BOMB.AFTER EIGHT MOJITO 400 g;353026;After Eight ;0.4000;kg;9.99;24.98;;;02.05.2025;9.99;7613287481726;Hrana
KRUH CHIA 400 g;353042;;0.4000;kg;1.79;4.48;;;02.05.2025;1.49;3858889894039;Hrana
PIVO KARLOVAÈKO LIM. 6X0,5 L;353047;Karlovacko;3.0000;L;6.49;2.16;;5.89;02.05.2025;7.67;3850103902360;Piæa
KOLAÈ DUNAVSKI VALOVI 450 g;353059;;0.4500;kg;3.69;8.20;;;02.05.2025;3.69;3830056443004;Hrana
BRUSCHETTE MARETTI 140 g;353062;;0.1400;kg;1.59;11.36;;;02.05.2025;1.59;3800205877929;Hrana
ÈOKOLADA KOLUMBO 100 g;353143;Kra¹;0.1000;kg;2.59;25.90;;;02.05.2025;2.59;3850102521845;Hrana
RI®A NA MLIJ.MÜ.ÈOKOLAD.200 g ;353174;;0.2000;kg;0.92;4.60;;;02.05.2025;0.92;42392149;Hrana
RI®A NA MLIJ.MÜLL.VANILI.200 g;353175;;0.2000;kg;0.92;4.60;;;02.05.2025;0.92;42244035;Hrana
JOGURT MIX ÈOK.LOPTICA 130 g;353177;;0.2000;kg;.92;4.60;;;02.05.2025;.92;42373261;Hrana
JOGURT MIX ÈOKO ZVJEZD.130 g;353178;;0.1300;kg;.92;7.08;;;02.05.2025;.92;42373308;Hrana
ULO©CI LIBRESSE DNEVNI 50/1;353183;Libresse;50.0000;kom;2.60;0.05;;;02.05.2025;1.99;7322541350530;Toaletne potrep¹tine
KRU©NE MRVICE S BUDGET 1 kg;353196;S-BUDGET;1.0000;kg;1.89;1.89;;;02.05.2025;1.89;9100000810515;Hrana
BAGUETTE S-BUDGET 300 g 2/1;353197;S-BUDGET;0.3000;kg;0.99;3.30;;;02.05.2025;0.99;9100000864464;Hrana
BUÐOLA S BUDGET 1/2;353200;S-Budget;1.0000;kg;20.59;20.59;;;02.05.2025;20.59;3856021220340;Hrana
SOK SPAR JABUKA 100% 1 L ST.BO;353202;SPAR;1.0000;l;2.42;2.42;;;02.05.2025;2.42;9100000916668;Piæa
ÈOK.RITTER CIJ.LJE©NJ.100 g;353209;Ritter;0.1000;kg;2.35;23.50;;;02.05.2025;2.35;4000417700001;Hrana
ÈOK.BIJ.RITT.CIJ.LJE©NJ.100 g;353210;Ritter;0.1000;kg;2.35;23.50;;;02.05.2025;2.35;4000417701008;Hrana
Orada 400-600 g;353244;;1.0000;kg;10.99;10.99;;;02.05.2025;9.99;;Hrana
HRANA ZA PSE FRIS.GOV.RIB.3 kg;353245;Friskies;3.0000;kg;11.99;4.00;;;02.05.2025;11.99;7613287901262;Proizvodi za kuæanstvo
HRANA ZA PSE FRIS.GO.JANJ.3 kg;353246;Friskies;3.0000;kg;11.99;4.00;;;02.05.2025;11.99;7613287901200;Proizvodi za kuæanstvo
TABLETE COREGA BIO 108/1;353249;Corega;108.0000;kom;10.49;0.10;;;02.05.2025;10.49;5054563226242;Kozmetika
MED MELBI CVJETNI 700 g;353279;Melbi;0.7000;kg;11.94;17.06;;;02.05.2025;11.94;3859891216109;Hrana
MED MELBI LIPA 700 g;353280;Melbi;0.7000;kg;13.27;18.96;;;02.05.2025;13.27;3859891216321;Hrana
PR©UT S BUDGET NAREZAK 200 g;353289;S-Budget;0.2000;kg;5.79;28.95;;;02.05.2025;5.79;3856021225086;Hrana
ZAÈ.CEJLONSKI CIMET NADA.20 g ;353303;Nadalina;0.0200;kg;1.49;74.50;;;02.05.2025;1.49;3858881580350;Hrana
ZAÈIN KURKUMA NADALINA 35 g;353309;Nadalina;0.0350;kg;0.99;28.29;;;02.05.2025;0.99;3858881580329;Hrana
SUHA ©UNKA S BUDGET 100 g NAR ;353317;S-Budget;0.1000;kg;2.79;27.90;;;02.05.2025;2.79;3856021225048;Hrana
GEL JOHNSONS BABY KIDS 750 ml;353336;Johnson's;0.7500;L;7.39;9.85;;;02.05.2025;5.54;3574669908443;Kozmetika
KREMA MELEM BABY 150 ml;353343;Melem;0.1500;L;9.15;61.00;;;02.05.2025;8.59;3856007906046;Kozmetika
ULJE MELEM BABY 150 ml;353344;Melem;0.1500;L;4.69;31.27;;;02.05.2025;4.39;3856007908125;Kozmetika
KREMA NEUTRO.ZA STOPALA 100 ml;353346;Neutrogena;0.1000;L;6.19;61.90;;;02.05.2025;6.19;3574661116457;Kozmetika
TAMPONI O.B.ORGANIC SUPER 16/1;353352;o.b.;16.0000;kom;3.70;0.23;;;02.05.2025;3.70;3574661618104;Toaletne potrep¹tine
TAMP.O.B.ORGANIC NORMAL 16/1;353353;o.b.;16.0000;kom;3.70;0.23;;;02.05.2025;3.70;3574661629582;Toaletne potrep¹tine
MARAMIC.ASEPSOLETA CLASSIC 5/1;353354;Asepsoleta;5.0000;kom;1.25;0.25;;;02.05.2025;1.09;3856007908323;Toaletne potrep¹tine
MARAM.ASEPSOLETA SENSITIVE 5/1;353355;Asepsoleta;5.0000;kom;1.25;0.25;;;02.05.2025;1.09;3856007908415;Toaletne potrep¹tine
SAPUN LAHOR ANTIBACTERIAL 80 g;353358;Lahor;0.0800;kg;0.89;11.13;;;02.05.2025;0.89;3850105177223;Kozmetika
SAPUN LAHOR BABY 80 g;353359;Lahor;0.0800;kg;0.89;11.13;;;02.05.2025;0.89;3850105177131;Kozmetika
SAPUN LAHOR OLIVE 80 g;353360;Lahor;0.0800;kg;0.89;11.13;;;02.05.2025;0.89;3850105179623;Kozmetika
LOSION MELEM RU®A 200 ml;353362;Melem;0.2000;L;5.49;27.45;;;02.05.2025;5.49;3856007909337;Kozmetika
LOSION MELEM DRAG.ULJA 200 ml;353364;Melem;0.2000;L;5.49;27.45;;;02.05.2025;5.49;3856007909320;Kozmetika
GEL MELEM ZA TU©.RU®A 250 ml;353370;Melem;0.2500;L;2.99;11.96;;;02.05.2025;2.99;3856007909283;Kozmetika
GEL MELEM ZA TU©.D.ULJA 250 ml;353372;Melem;0.2500;L;2.99;11.96;;;02.05.2025;2.99;3856007909276;Kozmetika
PR©UT DALM. S BUDGET 100 g ;353376;S-Budget;0.1000;kg;3.29;32.90;;;02.05.2025;3.29;3856021219979;Hrana
VODA ZA USTA LISTERIN.T.500 ml;353381;Listerine;0.5000;l;7.29;14.58;;;02.05.2025;7.29;3574661266602;Kozmetika
KREMA ZA RUKE 48 ANTIBA.100 ml;353383;48;0.1000;L;3.39;33.90;;;02.05.2025;3.39;3838980813375;Kozmetika
PANCETA DALMAT. S BUDGET 100 g;353434;S-Budget;0.1000;kg;2.25;22.50;;;02.05.2025;2.25;3856021219658;Hrana
©PEK S BUDGET  NAREZAK 100 g;353437;S-Budget;0.1000;kg;2.29;22.90;;;02.05.2025;2.32;3856021225109;Hrana
ÈETK.COLGATE ZIG ZAG  3/1;353438;Colgate;1.0000;kom;5.57;5.57;;;02.05.2025;5.57;8718951305212;Kozmetika
ZUB.P.COLGATE CHARCOAL 100 ml;353443;Colgate;0.1000;l;4.09;40.90;;;02.05.2025;3.85;6920354829413;Kozmetika
PEÈENICA DALM. S BUDG. 100 g  ;353447;S-Budget;0.1000;kg;2.49;24.90;;;02.05.2025;2.49;3856021219672;Hrana
ÈET.COLGATE MAX WHITE ;353449;Colgate;1.0000;kom;3.98;3.98;;;02.05.2025;3.98;8718951382602;Kozmetika
TRAKE VEET ZA LICE  20/1;353454;Veet;20.0000;kom;4.99;0.25;;;02.05.2025;4.99;5997321774497;Kozmetika
KREMA VEET ZA DEPILACI.100 ml;353456;Veet;0.1000;l;5.49;54.90;;;02.05.2025;5.49;5997321774480;Kozmetika
CEDEVITA CRVENA NARANÈA 455 g;353459;Cedevita;0.4550;kg;4.19;9.21;;;02.05.2025;4.19;3850322014967;Piæa
INTIMNI SAPUN AFRODITA 200 ml;353464;Afrodita;0.2000;l;5.49;27.45;;;02.05.2025;5.49;3831070661870;Toaletne potrep¹tine
SIR MEKI KOZ. ILE D.FRNCE150 g;353475;;0.1500;kg;3.19;21.27;;;02.05.2025;3.19;3272770013994;Hrana
MASLINE SPAR ZELENE BK.225 g;353562;SPAR;0.1100;kg;1.69;15.36;;;02.05.2025;1.69;91000262;Hrana
GLJIVE DESPAR 400 g;353563;Despar;0.2100;kg;1.59;7.57;;;02.05.2025;1.59;8001300235149;Hrana
KOMPOT DESPAR BRESKVA 415 g;353565;Despar;0.2400;kg;1.49;6.21;;;02.05.2025;1.49;8001300501732;Hrana
KOMPOT DESPAR ©LJIVA 420 g;353566;Despar;0.2500;kg;2.19;8.76;;;02.05.2025;2.19;8001300501749;Hrana
KOMPOT GIANA BRESKVA 820 g;353567;Giana;0.4700;kg;4.19;8.91;;;02.05.2025;4.11;8594012791640;Hrana
©AMPINJONI GIANA REZANI 800 g;353571;Giana;0.4000;kg;4.19;10.48;;;02.05.2025;4.19;8594012792326;Hrana
SIR GRAND OVAL GOURM.450 g;353586;President;0.4500;kg;6.49;14.42;;;02.05.2025;6.49;3850355006908;Hrana
SIR GRAND OVAL GOUDA 450  g;353590;President;0.4500;kg;6.49;14.42;;;02.05.2025;6.49;3850355006861;Hrana
SIR GRAND OVAL DIMLJENI 450 g;353598;President;0.4500;kg;7.69;17.09;;;02.05.2025;7.69;3850355006823;Hrana
SIR GRAND OVAL DELIKATES 450 g;353599;;0.4500;kg;6.49;14.42;;;02.05.2025;6.49;3850355006847;Hrana
ULJE MASLIN.PREM.ISTRA 500 ml;353619;SPAR PREMIUM;0.5000;L;12.99;25.98;;;02.05.2025;12.99;3856021219610;Hrana
SIR KRAVLJI ©PIN TARTUF. 230 g;353620;Spin;0.2300;kg;12.29;53.43;;;02.05.2025;12.29;3858881196650;Hrana
SIR ©PIN U TERANU 230 g;353621;Spin;0.2300;kg;8.89;38.65;;;02.05.2025;8.89;3858881196599;Hrana
UMAK DESPAR AMATRICIANA 400 g;353658;Despar;0.4000;kg;2.19;5.48;;;02.05.2025;2.25;8001300223238;Hrana
KUS KUS EXPRESS TIPIAK 4X100 g;353661;Tipiak;0.4000;kg;4.99;12.48;;;02.05.2025;5.04;3600900020251;Hrana
KUS KUS INTEGRAL.TIPIAK 500 g;353663;Tipiak;0.5000;kg;4.19;8.38;;;02.05.2025;5.49;3600900005043;Hrana
GEL GLADE BOZUR&TRE©NJA 180 ml;353664;Glade;0.1800;L;4.29;23.83;;;02.05.2025;4.29;5000204184839;Sredstva za èi¹æenje
UMAK MC ILHENNY SRIRACHA 300 g;353665;Mc Ilhenny;0.3000;kg;5.97;19.90;;;02.05.2025;5.97;0011210697003;Hrana
UMAK KIKKOMAN POKE 250 ml ;353666;Kikkoman;0.2500;l;6.79;27.16;;;02.05.2025;6.79;8715035450301;Hrana
©KROB GUSSNEL DOLCELA POD.30 g;353686;Dolcela;0.0300;kg;0.39;13.00;;;02.05.2025;0.39;3856020254018;Hrana
D®EM MIJE©.VOÆE PODRAVKA 690 g;353695;Podravka;0.6900;kg;2.89;4.19;;;02.05.2025;2.89;3856020252304;Hrana
D®EM MARELICA PODRAVKA 670 g;353696;Podravka;0.6700;kg;2.79;4.16;;;02.05.2025;2.79;3856020252502;Hrana
D®EM JAGODA EKSTRA PODRA.320 g;353698;Podravka;0.3200;kg;3.99;12.47;;;02.05.2025;3.99;3856020253073;Hrana
D®EM EKSTRA ©UM.VOÆE POD.320 g;353700;Podravka;0.3200;kg;3.99;12.47;;;02.05.2025;3.99;3856020253134;Hrana
D®EM EKSTRA MALINA PODRA.320 g;353701;Podravka;0.3200;kg;3.99;12.47;;;02.05.2025;3.99;3856020253042;Hrana
D®EM EKSTRA VI©NJA PODRA.320 g;353702;Podravka;0.3200;kg;3.99;12.47;;;02.05.2025;3.99;3856020253103;Hrana
HIG.ULO.VIR CLASSIC COMFO.10/1;353719;Vir;10.0000;kom;1.29;0.13;;;02.05.2025;1.29;3838985893723;Toaletne potrep¹tine
CHICKEN NUGGETS LEDO 300 g;353764;Ledo;0.3000;kg;4.79;15.97;;;02.05.2025;4.79;3850116039077;Hrana
PEKARSKI ZAÈINJENI LEDO 750 g;353769;Ledo;0.7500;kg;4.49;5.99;;;02.05.2025;4.49;3850116006741;Hrana
PAN.RIBLJI ©TAPIÆ.SB XXL 900 g;353770;S-Budget;0.9000;kg;7.99;8.88;;;02.05.2025;7.99;9100000948263;Hrana
BU VREÆICA ZA ZAMRZ. 100x1L;353793;S-BUDGET;100.0000;kom;2.99;0.03;;;02.05.2025;2.99;9100000966717;Proizvodi za kuæanstvo
BU VREÆICA ZA ZAMRZ. 75x3L;353794;S-BUDGET;75.0000;kom;2.99;0.04;;;02.05.2025;2.99;9100000966731;Proizvodi za kuæanstvo
BU VREÆICA ZA ZAMRZ. 41x6L;353795;S-BUDGET;41.0000;kom;2.99;0.07;;;02.05.2025;2.99;9100000966755;Proizvodi za kuæanstvo
SPAR VREÆ. ZA ZAMRZ. ZIP 20x1L;353796;SPAR Qualitätsmarke;20.0000;kom;;0.07;1.44;2.89;02.05.2025;2.89;9100000911144;Proizvodi za kuæanstvo
SPAR VREÆ. ZA ZAMRZ. ZIP 15x3L;353800;SPAR Qualitätsmarke;15.0000;kom;;0.11;1.64;3.29;02.05.2025;3.29;9100000911168;Proizvodi za kuæanstvo
SPAR VREÆ. ZA ZAMRZ. ZIP 10x6L;353801;SPAR Qualitätsmarke;10.0000;kom;2.49;0.25;;;02.05.2025;2.49;9100000911182;Proizvodi za kuæanstvo
SPAR VREÆ. ZA LED KOCKE 12x24 ;353802;SPAR Qualitätsmarke;24.0000;kom;1.69;0.07;;;02.05.2025;1.69;9100000911281;Proizvodi za kuæanstvo
SPAR VR.ZALED  XXL KOCKE12x9  ;353803;SPAR Qualitätsmarke;12.0000;kom;1.69;0.14;;;02.05.2025;1.69;9100000911328;Proizvodi za kuæanstvo
DES.JAFFA MILK ORANGE 27 g;353804;;0.0270;kg;0.75;27.78;;;02.05.2025;0.75;9120097310361;Hrana
SPAR VREÆ. ZA LED SRCE 12x18  ;353805;SPAR Qualitätsmarke;12.0000;kom;1.69;0.14;;;02.05.2025;1.69;9100000911304;Proizvodi za kuæanstvo
DES.MUNCHMALLOW MILK 27 g;353806;;0.0270;kg;0.75;27.78;;;02.05.2025;0.75;9120097310354;Hrana
PEÈENICA DALMAT. PIVAC 100 g;353811;Pivac;0.1000;kg;2.59;25.90;;;02.05.2025;2.59;3858890183467;Hrana
PANIRANI MEDALJONI 320 g;353812;AiA;0.3200;kg;2.99;9.34;;;02.05.2025;2.99;8008110032845;Hrana
JOG.B AKTIV NATUR 3x150 g;353818;;0.4500;kg;1.89;4.20;;;02.05.2025;1.89;3850354008828;Hrana
SOK HAPPY DAY FAMILY RED M.1 L;353820;Happy Day;1.0000;l;2.39;2.39;;;02.05.2025;2.39;9008700181822;Piæa
VINO BELJE CAB.S/MER.VR.0,75 L;353821;Belje;0.7500;L;14.99;19.99;;;02.05.2025;14.99;3850257020279;Piæa
PIVO DESPERADOS 0,5 L;353822;Desperados;0.5000;L;1.58;3.16;;;02.05.2025;1.58;8712000038175;Piæa
SIR PODRAVEC PRESIDENT 250 g;353838;;0.2500;kg;3.59;14.36;;;02.05.2025;3.59;3850355007349;Hrana
SIR GOUDA PRESIDENT 250 g ;353839;;0.2500;kg;3.59;14.36;;;02.05.2025;3.59;3850355007301;Hrana
PROLJET.ROLICE S POVRÆEM 900 g;353851;;0.9000;kg;;5.54;4.99;6.99;02.05.2025;6.99;8717677864249;Hrana
EN.NAP.PROGAME STAMINA C.0,5 L;353853;48;0.5000;l;1.49;2.98;;;02.05.2025;1.49;3858890877830;Piæa
EN.NAP.PROGAME FOCUS .MA.0,5 L;353855;;0.5000;l;1.49;2.98;;;02.05.2025;1.49;3858890877861;Piæa
MLIJ.TRAJNO DUKAT 0,5% 1 L TE;353874;Dukat;1.0000;L;1.65;1.65;;;02.05.2025;1.65;3850354016816;Hrana
MLIJ.TRAJNO DUK.2,8% 0,5 L TE;353877;Dukat;0.5000;L;0.99;1.98;;;02.05.2025;0.99;3850354016878;Hrana
MLIJ.TRAJNO DUKAT 3,8% 1 L TE;353878;Dukat;1.0000;L;1.75;1.75;;;02.05.2025;1.75;3850354016854;Hrana
JOGUR.ÈVRSTI 3,2%DUKAT 3x180 g;353881;Dukat;0.5400;kg;1.32;2.44;;;02.05.2025;1.30;3850354008781;Hrana
NAMAZ MLI.ORIG.DUKATELA 3x70 g;353883;Dukat;0.2100;kg;2.49;11.86;;;02.05.2025;2.49;3850354017004;Hrana
MLIJ.TRAJNO DUK.2,8% 6X1 L TE;353893;Dukat;6.0000;L;5.99;1.00;;;02.05.2025;5.99;3850354016809;Hrana
BURGER BAUCKHOF PIR ORA©.150 g;353908;;0.1500;kg;3.19;21.27;;;02.05.2025;3.19;4015637009407;Hrana
BURGER BAUCKHOF PIR POVR.160 g;353909;;0.1600;kg;3.19;19.94;;;02.05.2025;3.19;4015637004945;Hrana
SIR EMENTAL.RIBANI S-BUD.250 g;353926;S-Budget;0.2500;kg;2.69;10.76;;;02.05.2025;2.69;9100000890579;Hrana
SLATKO VRHNJE S-BUDGET 0,5 L;353927;S-Budget;0.5000;L;2.99;5.98;;;02.05.2025;2.99;9100000894768;Hrana
MOZZARELLA MINI S-BUDGE.125 g ;353928;S-Budget;0.1250;kg;1.49;11.92;;;02.05.2025;1.49;9100000976358;Hrana
SIR NARE.LIGHT 3 VRST.SB 250 g;353929;S-Budget;0.2500;kg;2.99;11.96;;;02.05.2025;2.99;9100000705392;Hrana
KAVA CAPPUCHINO S-BUDGE.250 ml;353932;S-Budget;0.2500;L;1.09;4.36;;;02.05.2025;1.09;9100000760803;Piæa
KAVA MACCH.KARAMELL SB 250 ml;353935;S-Budget;0.2500;kg;1.09;4.36;;;02.05.2025;1.09;9100000746920;Piæa
SIR GOUDA TOAST PRESIDEN.150 g;353960;President;0.1500;kg;1.79;11.93;;;02.05.2025;1.79;3228022210048;Hrana
SPU®VA ZA KUPANJE L´ANGELICA ;353968;L'Angelica;1.0000;kom;1.19;1.19;;;02.05.2025;1.19;8017331079188;Toaletne potrep¹tine
LOS.L´ANGELICA LINFA 300 ml;353970;L´Angelica;0.3000;l;3.49;11.63;;;02.05.2025;3.49;8017331077511;Kozmetika
KRE.OLIVAL NJEGA OKO OÈI 15 ml;353980;Olival;0.0150;L;10.59;706.00;;;02.05.2025;10.59;3858892693780;Kozmetika
ÈETK.ZA ZUBE ELMEX  SUPER SOFT;353987;Elmex;1.0000;KOM;4.91;4.91;;;02.05.2025;4.91;8718951435094;Kozmetika
ZUB.P.CO MAX  CLEAN 75 ml;353988;Colgate;0.0750;l;2.75;36.67;;;02.05.2025;2.75;8718951327085;Kozmetika
Sir Presid.Grand Oval Trapist;354015;President;1.0000;kg;12.49;12.49;;;02.05.2025;12.49;3850355007479;Hrana
SIR DOMAÆI DIMLJ.PRESIDE.300 g;354034;;0.3000;kg;5.49;18.30;;;02.05.2025;5.49;3850355007226;Hrana
SIR DOMAÆI PRESIDENT 300 g;354037;President;0.3000;kg;5.49;18.30;;;02.05.2025;5.49;3850355007202;Hrana
SIR PODRAVEC PRESIDENT 400 g;354047;President;0.4000;kg;5.19;12.98;;;02.05.2025;5.19;3850355007363;Hrana
Sir Tilzit President;354049;President;1.0000;kg;12.99;12.99;;;02.05.2025;12.99;3850355007516;Hrana
SIR TILZIT PRESIDENT 400 g;354053;President;0.4000;kg;5.29;13.23;;;02.05.2025;5.29;3850355007387;Hrana
SIR GOUDA PRESIDENT 400 g;354054;President;0.4000;kg;5.19;12.98;;;02.05.2025;5.19;3850355007325;Hrana
SIR DIMSI PRESIDENT 400 g;354055;President;0.4000;kg;5.19;12.98;;;02.05.2025;5.19;3850355007288;Hrana
MLIJ.TRAJNO DUKAT 2,8% 1L TE;354056;Dukat;1.0000;L;0.94;0.94;;0.94;02.05.2025;1.02;3850354016830;Hrana
Sir Dimsi President blok;354059;President;1.0000;kg;;8.99;8.99;12.99;02.05.2025;12.99;3850355007417;Hrana
JAJA S BUDG.M PODNI UZGOJ 15/1;354091;S-Budget;15.0000;kom;3.99;0.27;;;02.05.2025;3.99;3856021220265;Hrana
SIR SVJE®I SPORT ZDENKA 500 g;354092;Zdenka;0.5000;kg;2.59;5.18;;;02.05.2025;2.59;3858888598679;Hrana
KEKS LA CANTUCCI KOM.ÈOK.200 g;354101;DUPIN;0.2000;kg;2.39;11.95;;;02.05.2025;2.39;8015565030463;Hrana
MICEL.VOD.GARNIER EXPER.100 ml;354104;Garnier;0.1000;l;3.39;33.90;;;02.05.2025;3.39;3600542399258;Kozmetika
